"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"11","John S. Wold","John S. Wold","1916-08-31"," 2017-02-19",NA,"John S. WoldMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1969<U+00A0><U+0096> January 3, 1971Preceded byWilliam H. HarrisonSucceeded byTeno Roncalio",0,"BornJohn Schiller Wold(1916-08-31)August 31, 1916East Orange, New Jersey,  U.S.DiedFebruary 19, 2017(2017-02-19) (aged<U+00A0>100)Casper, Wyoming, U.S.Political partyRepublicanSpouse(s)Jane Wold(m.<U+00A0>1946; died<U+00A0>2015)Alma materUnion College, Cornell University"
"12","Teno Roncalio","Teno Roncalio","1916-03-23"," 2003-03-30",NA,"Teno RoncalioMember of the U.S. House of Representatives from Wyoming's at-large districtIn officeJanuary 3, 1965<U+00A0><U+0096> January 3, 1967Preceded byWilliam Henry HarrisonSucceeded byWilliam Henry HarrisonIn officeJanuary 3, 1971<U+00A0><U+0096> December 30, 1978Preceded byJohn S. WoldSucceeded byDick Cheney",1,"BornCeleste Domenico Roncaglio(1916-03-23)March 23, 1916Rock Springs, Wyoming, U.S.DiedMarch 30, 2003(2003-03-30) (aged<U+00A0>87)Cheyenne, Wyoming, U.S.Political partyDemocraticSpouse(s)Cecilia Waters DomenicoChildren6MotherErnesta RoncalioFatherFrank RoncalioEducationUniversity of WyomingMilitary serviceAllegiance<U+00A0>United StatesBranch/serviceUnited States ArmyYears<U+00A0>of service1942<U+0096>1945Unit18th Infantry RegimentAwardsSilver Star"
"13","Dick Cheney","Dick Cheney","1941-01-30",NA,NA,"Dick Cheney46th Vice President of the United StatesIn officeJanuary 20, 2001<U+00A0><U+0096> January 20, 2009PresidentGeorge W. BushPreceded byAl GoreSucceeded byJoe Biden17th United States Secretary of DefenseIn officeMarch 21, 1989<U+00A0><U+0096> January 20, 1993PresidentGeorge H. W. BushDeputyDonald J. Atwood Jr.Preceded byFrank CarlucciSucceeded byLes AspinHouse Minority WhipIn officeJanuary 3, 1989<U+00A0><U+0096> March 20, 1989LeaderRobert H. MichelPreceded byTrent LottSucceeded byNewt GingrichChair of the House Republican ConferenceIn officeJune 4, 1987<U+00A0><U+0096> January 3, 1989LeaderRobert H. MichelPreceded byJack KempSucceeded byJerry LewisMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeJanuary 3, 1979<U+00A0><U+0096> March 20, 1989Preceded byTeno RoncalioSucceeded byCraig L. Thomas7th White House Chief of StaffIn officeNovember 21, 1975<U+00A0><U+0096> January 20, 1977PresidentGerald FordPreceded byDonald RumsfeldSucceeded byHamilton Jordan (1979)",0,"BornRichard Bruce Cheney (1941-01-30) January 30, 1941 (age<U+00A0>79)Lincoln, Nebraska, U.S.Political partyRepublicanSpouse(s)Lynne Vincent (m.<U+00A0>1964)ChildrenLizMaryEducationYale UniversityUniversity of Wyoming (BA, MA)University of Wisconsin<U+0096>MadisonSignature"
"14","Craig L. Thomas","Craig L. Thomas","1933-02-17"," 2007-06-04",NA,"Craig L. ThomasUnited States Senatorfrom WyomingIn officeJanuary 3, 1995<U+00A0><U+0096> June 4, 2007Preceded byMalcolm WallopSucceeded byJohn BarrassoMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeApril 26, 1989<U+00A0><U+0096> January 3, 1995Preceded byDick CheneySucceeded byBarbara CubinMember of the Wyoming House of Representativesfor Natrona CountyIn office1985<U+0096>1989Multi-member district",1,"BornCraig Lyle Thomas(1933-02-17)February 17, 1933Cody, Wyoming, U.S.DiedJune 4, 2007(2007-06-04) (aged<U+00A0>74)Bethesda, Maryland, U.S.Resting placeRiverside CemeteryCody, WyomingPolitical partyRepublicanSpouse(s)Susan Roberts ThomasAlma materUniversity of WyomingOccupationRancherMilitary serviceBranch/serviceUnited States Marine CorpsYears<U+00A0>of service1955<U+0096>1959RankCaptain"
"15","Barbara Cubin","Barbara Cubin","1946-11-30",NA,NA,"Barbara CubinSecretary of the House Republican ConferenceIn officeJanuary 3, 2001<U+00A0><U+0096> January 3, 2003LeaderDennis HastertPreceded byDeborah PryceSucceeded byJohn DoolittleMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeJanuary 3, 1995<U+00A0><U+0096> January 3, 2009Preceded byCraig ThomasSucceeded byCynthia LummisMember of the Wyoming Senatefor the 29th DistrictIn office1993<U+0096>1995Preceded byCounty-based representationSucceeded byBill HawksMember of the Wyoming House of Representativesfor Natrona CountyIn office1987<U+00A0><U+0096> 1993Multi-member district",0,"Born (1946-11-30) November 30, 1946 (age<U+00A0>73)Salinas, California, U.S.Political partyRepublicanSpouse(s)Fritz Cubin (1975<U+0096>2010)EducationCreighton University (BS)"
"16","Cynthia Lummis","Cynthia Lummis","1954-09-10",NA,NA,"Cynthia LummisMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2017Preceded byBarbara CubinSucceeded byLiz Cheney27th Treasurer of WyomingIn officeJanuary 4, 1999<U+00A0><U+0096> January 9, 2007GovernorJim GeringerDave FreudenthalPreceded byStan SmithSucceeded byJoe MeyerMember of the Wyoming Senatefrom the 5th districtIn officeJanuary 14, 1993<U+00A0><U+0096> January 10, 1995Preceded byGary YordySucceeded byDonald LawlerActing Director of the Wyoming Office of State Lands and InvestmentsIn office1997<U+0096>1998GovernorJim GeringerMember of the Wyoming House of Representativesfrom the Laramie County districtIn officeJanuary 7, 1985<U+00A0><U+0096> January 14, 1993In officeJanuary 8, 1979<U+00A0><U+0096> January 3, 1983Multi-member district",0,"BornCynthia Marie Lummis (1954-09-10) September 10, 1954 (age<U+00A0>65)Cheyenne, Wyoming, U.S.Political partyRepublicanSpouse(s)Alvin Wiederspahn (1983<U+0096>2014)Children1EducationUniversity of Wyoming (B.S., J.D.)WebsiteLummis For Wyoming"
"17","Liz Cheney","Liz Cheney","1966-07-28",NA,NA,"Liz CheneyChair of the House Republican ConferenceIncumbentAssumed office January 3, 2019DeputyMark WalkerLeaderKevin McCarthyPreceded byCathy McMorris RodgersMember of the U.S. House of Representativesfrom Wyoming's at-large districtIncumbentAssumed office January 3, 2017Preceded byCynthia Lummis",0,"BornElizabeth Lynne Cheney (1966-07-28) July 28, 1966 (age<U+00A0>53)Madison, Wisconsin, U.S.Political partyRepublicanSpouse(s)Philip Perry (m.<U+00A0>1993)Children5ParentsDick CheneyLynne VincentRelativesMary Cheney (sister)EducationColorado College (BA)University of Chicago (JD)WebsiteHouse website"
"18","Edward Voigt","Edward Voigt","1934-08-26",NA,NA,"Edward VoigtMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeMarch 4, 1917<U+00A0><U+0096> March 3, 1927Preceded byMichael E. BurkeSucceeded byCharles A. Kading",0,"BornDecember 1, 1873Bremen, GermanyDiedAugust 26, 1934(1934-08-26) (aged<U+00A0>60)Elkhart Lake, WisconsinPolitical partyRepublican"
"19","John M. Nelson","John M. Nelson","1955-01-29",NA,NA,"John Mandt NelsonMember of the U.S. House of Representativesfrom Wisconsin's 3rd districtIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1933Preceded byJames G. MonahanSucceeded byGardner R. WithrowIn officeMarch 4, 1913<U+00A0><U+0096> March 3, 1919Preceded byArthur W. KoppSucceeded byJames G. MonahanMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeSeptember 4, 1906<U+00A0><U+0096> March 3, 1913Preceded byHenry Cullen AdamsSucceeded byMichael E. Burke",0,"BornOctober 10, 1870Burke, WisconsinDiedJanuary 29, 1955(1955-01-29) (aged<U+00A0>84)Madison, WisconsinPolitical partyRepublican"
"20","John C. Kleczka","John C. Kleczka","1959-04-21",NA,NA,"John Casimir KleczkaMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeMarch 4, 1919<U+00A0><U+0096> March 3, 1923Preceded byWilliam J. CarySucceeded byJohn C. SchaferMember of the Wisconsin SenateIn office1909<U+0096>1911",0,"BornMay 6, 1885Milwaukee, WisconsinDiedApril 21, 1959(1959-04-21) (aged<U+00A0>73)Milwaukee, WisconsinNationalityAmericanPolitical partyRepublicanAlma materMarquette University"
"21","William H. Stafford","William H. Stafford","1869-10-12"," 1957-04-22",NA,"William H. StaffordMember of theU.S. House of Representativesfrom Wisconsin's 5th districtIn officeMarch 4, 1929<U+00A0><U+0096> March 3, 1933Preceded byVictor L. BergerSucceeded byThomas O'MalleyIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1923Preceded byVacantSucceeded byVictor L. BergerIn officeMarch 4, 1913<U+00A0><U+0096> March 3, 1919Preceded byVictor L. BergerSucceeded byVacantIn officeMarch 4, 1903<U+00A0><U+0096> March 3, 1911Preceded bySamuel S. BarneySucceeded byVictor L. Berger",0,"Born(1869-10-12)October 12, 1869Milwaukee, WisconsinDiedApril 22, 1957(1957-04-22) (aged<U+00A0>87)Milwaukee, WisconsinPolitical partyRepublican"
"22","Florian Lampert","Florian Lampert","1863-07-08"," 1930-07-18",NA,"Florian LampertMember of the U.S. House of Representativesfrom Wisconsin's 6th districtIn officeNovember 5, 1918<U+00A0><U+0096> July 18, 1930Preceded byJames H. DavidsonSucceeded byMichael Reilly",0,"Born(1863-07-08)July 8, 1863West Bend, WisconsinDiedJuly 18, 1930(1930-07-18) (aged<U+00A0>67)Fond du Lac, WisconsinPolitical partyRepublican"
"23","Joseph D. Beck","Joseph D. Beck","1866-03-14"," 1936-11-08",NA,"Joseph D. BeckMember of the U.S. House of Representativesfrom Wisconsin's 7th districtIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1929Preceded byJohn J. EschSucceeded byMerlin Hull",0,"Born(1866-03-14)March 14, 1866Bloomingdale, WisconsinDiedNovember 8, 1936(1936-11-08) (aged<U+00A0>70)Madison, WisconsinPolitical partyRepublican"
"24","Edward E. Browne","Edward E. Browne","1868-02-16"," 1945-11-23",NA,"Edward Everts BrowneMember of the U.S. House of Representativesfrom Wisconsin's 8th districtIn officeMarch 4, 1913<U+00A0><U+0096> March 3, 1931Preceded byJames H. DavidsonSucceeded byGerald J. BoileauMember of the Wisconsin SenateIn office1907<U+0096>1912",0,"Born(1868-02-16)February 16, 1868Waupaca, WisconsinDiedNovember 23, 1945(1945-11-23) (aged<U+00A0>77)Evanston, IllinoisPolitical partyRepublican PartyAlma materUniversity of Wisconsin<U+0096>MadisonOccupationAttorney"
"25","David G. Classon","David Guy Classon","1870-09-27"," 1930-09-06",NA,"The HonorableDavid G. ClassonMember of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeMarch 4, 1917<U+00A0><U+0096> March 3, 1923Preceded byThomas F. KonopSucceeded byGeorge J. SchneiderWisconsin Circuit Court Judgefor the 20th CircuitIn office1928<U+00A0><U+0096> January 1, 1930Appointed byFred R. ZimmermanPreceded byWilliam B. QuinlanSucceeded byArold Francis Murphy",0,"BornDavid Guy Classon(1870-09-27)September 27, 1870Oconto, WisconsinDiedSeptember 6, 1930(1930-09-06) (aged<U+00A0>59)Oconto, WisconsinResting placeEvergreen Cemetery Oconto, WisconsinPolitical partyRepublicanSpouse(s)Myrtle Leila Orr(died 1931)Children4"
"26","James A. Frear","James A. Frear","1861-10-24"," 1939-05-28",NA,"James A. FrearMember of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byGeorge J. SchneiderSucceeded byMerlin HullMember of the U.S. House of Representativesfrom Wisconsin's 10th districtIn officeMarch 4, 1913<U+00A0><U+0096> March 3, 1933Preceded byElmer A. MorseSucceeded byHubert H. PeaveyMember of the Wisconsin State SenateIn office1905Member of the Wisconsin State AssemblyIn office190318th Secretary of State of WisconsinIn officeJanuary 7, 1907<U+00A0><U+0096> January 6, 1913GovernorJames O. DavidsonFrancis E. McGovernPreceded byWalter L. HouserSucceeded byJohn S. Donald",0,"Born(1861-10-24)October 24, 1861Hudson, WisconsinDiedMay 28, 1939(1939-05-28) (aged<U+00A0>77)Washington, D.C.Political partyRepublican"
"27","Adolphus Peter Nelson","Adolphus Peter Nelson","1872-03-28"," 1927-08-21",NA,"Adolphus P. NelsonMember of the U.S. House of Representativesfrom Wisconsin's 11th districtIn officeNovember 5, 1918<U+00A0><U+0096> March 3, 1923Preceded byIrvine L. LenrootSucceeded byHubert H. Peavey",0,"Born(1872-03-28)March 28, 1872Holmes City Township, MinnesotaDiedAugust 21, 1927(1927-08-21) (aged<U+00A0>55)Grantsburg, WisconsinPolitical partyRepublican"
"28","John C. Schafer","John C. Schafer","1962-06-09",NA,NA,"John C. SchaferMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1941Preceded byRaymond J. CannonSucceeded byThaddeus WasielewskiMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1933Preceded byJohn C. KleczkaSucceeded byRaymond J. Cannon",0,"BornMay 7, 1893Milwaukee, WisconsinDiedJune 9, 1962(1962-06-09) (aged<U+00A0>69)Pewaukee, WisconsinNationalityAmericanPolitical partyRepublican"
"29","Victor L. Berger","Victor L. Berger","1860-02-28"," 1929-08-07",NA,"Victor L. BergerMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1929Preceded byWilliam H. StaffordSucceeded byWilliam H. StaffordIn officeMarch 4, 1919<U+00A0><U+0096> November 10, 1919Preceded byWilliam H. StaffordSucceeded byvacantIn officeMarch 4, 1911<U+00A0><U+0096> March 3, 1913Preceded byWilliam H. StaffordSucceeded byWilliam H. Stafford",0,"BornVictor Berger(1860-02-28)February 28, 1860Nieder-Rehbach, Austria-HungaryDiedAugust 7, 1929(1929-08-07) (aged<U+00A0>69)Milwaukee, WisconsinPolitical partySocialist Party"
"30","George J. Schneider","George J. Schneider","1877-10-30"," 1939-03-12",NA,"George J. SchneiderMember of the U.S. House of Representativesfrom Wisconsin's 8th districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1939Preceded byJames F. HughesSucceeded byJoshua L. JohnsMember of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1933Preceded byDavid G. ClassonSucceeded byJames A. Frear",0,"Born(1877-10-30)October 30, 1877Grand Chute, WisconsinDiedMarch 12, 1939(1939-03-12) (aged<U+00A0>61)Toledo, OhioPolitical partyWisconsin Progressive Party
Republican"
"31","Hubert H. Peavey","Hubert H. Peavey","1881-01-12"," 1937-11-21",NA,"Hubert H. PeaveyMember of the U.S. House of Representativesfrom Wisconsin's 10th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byJames A. FrearSucceeded byBernard J. GehrmannMember of the U.S. House of Representativesfrom Wisconsin's 11th districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1933Preceded byAdolphus Peter NelsonSucceeded byDistrict abolishedMember of the Wisconsin State AssemblyIn office1913-1915",0,"Born(1881-01-12)January 12, 1881Adams, MinnesotaDiedNovember 21, 1937(1937-11-21) (aged<U+00A0>56)Washburn, WisconsinPolitical partyRepublican"
"32","Charles A. Kading","Charles A. Kading","1956-06-19",NA,NA,"Charles A. KadingMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeMarch 4, 1927<U+00A0><U+0096> March 3, 1933Preceded byEdward VoigtSucceeded byCharles W. Henney",0,"BornJanuary 14, 1874Lowell, WisconsinDiedJune 19, 1956(1956-06-19) (aged<U+00A0>82)Watertown, WisconsinPolitical partyRepublicanSpouse(s)Elizabeth Holst KadingAlma materUniversity of Wisconsin<U+0096>MadisonValparaiso UniversityProfessionattorney"
"33","Merlin Hull","Merlin Hull","1870-12-18"," 1953-05-17",NA,"Merlin Gray HullMember of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeJanuary 3, 1935<U+00A0><U+0096> May 17, 1953Preceded byJames A. FrearSucceeded byLester JohnsonMember of the U.S. House of Representativesfrom Wisconsin's 7th districtIn officeMarch 4, 1929<U+00A0><U+0096> March 3, 1931Preceded byJoseph D. BeckSucceeded byGardner R. Withrow20th Secretary of State of WisconsinIn officeJanuary 1, 1917<U+00A0><U+0096> January 3, 1921GovernorEmanuel L. PhilippPreceded byJohn S. DonaldSucceeded byFred R. ZimmermanMember of the Wisconsin State AssemblyIn office1909-1915",0,"Born(1870-12-18)December 18, 1870Farina, Illinois, United StatesDiedMay 17, 1953(1953-05-17) (aged<U+00A0>82)La Crosse, Wisconsin, United StatesPolitical partyRepublican Wisconsin Progressive Party"
"34","George Washington Blanchard","George Washington Blanchard","1964-10-02",NA,NA,"George Washington BlanchardMember of the U.S. House of Representativesfrom Wisconsin's 1st districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byThomas Ryum AmlieSucceeded byThomas Ryum AmlieMember of the Wisconsin State AssemblyIn office1925Member of the Wisconsin State SenateIn office1927",0,"BornJanuary 26, 1884Colby, WisconsinDiedOctober 2, 1964(1964-10-02) (aged<U+00A0>80)Edgerton, WisconsinPolitical partyRepublican"
"35","Charles W. Henney","Charles W. Henney","1969-11-16",NA,NA,"Charles W. HenneyMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byCharles A. KadingSucceeded byHarry Sauthoff",0,"BornFebruary 2, 1884Dunlap, IowaDiedNovember 16, 1969(1969-11-16) (aged<U+00A0>85)Portage, WisconsinPolitical partyDemocratic"
"36","Gardner R. Withrow","Gardner R. Withrow","1964-09-23",NA,NA,"Gardner R. WithrowMember of the U.S. House of Representativesfrom Wisconsin's 3rd districtIn officeJanuary 3, 1949<U+00A0><U+0096> January 3, 1961Preceded byWilliam H. StevensonSucceeded byVernon Wallace ThomsonMember of the U.S. House of Representativesfrom Wisconsin's 3rd districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1939Preceded byJohn M. NelsonSucceeded byHarry W. GriswoldMember of the U.S. House of Representativesfrom Wisconsin's 7th districtIn officeMarch 4, 1931<U+00A0><U+0096> March 3, 1933Preceded byMerlin HullSucceeded byGerald J. Boileau",0,"BornOctober 5, 1892La Crosse, WisconsinDiedSeptember 23, 1964(1964-09-23) (aged<U+00A0>71)La Crosse, WisconsinPolitical partyRepublican, Progressive"
